lat,lon,probability
59.5124,26.3957,0.423
59.5124,26.4374,0.428
59.5124,26.479,0.387
59.5124,26.5207,0.433
59.5124,26.5624,0.393
59.5124,26.604,0.38
59.5124,26.6457,0.412
59.5124,26.6874,0.415
59.5124,26.729,0.403
59.504,24.8207,0.468
59.504,24.8624,0.438
59.504,24.904,0.452
59.504,24.9457,0.475
59.504,24.9874,0.493
59.504,25.029,0.475
59.504,25.0707,0.435
59.504,25.179,0.447
59.504,25.2207,0.425
59.504,25.2624,0.423
59.504,25.304,0.425
59.504,25.4124,0.465
59.504,25.454,0.41
59.504,25.4957,0.428
59.504,25.5374,0.42
59.504,25.579,0.423
59.504,25.6207,0.445
59.504,25.6624,0.42
59.504,25.704,0.435
59.504,25.7457,0.442
59.504,25.7874,0.415
59.504,25.829,0.417
59.504,25.8707,0.425
59.504,25.9124,0.428
59.504,25.954,0.415
59.504,25.9957,0.415
59.504,26.0374,0.428
59.504,26.079,0.405
59.504,26.1207,0.417
59.504,26.1624,0.423
59.504,26.204,0.398
59.504,26.2457,0.417
59.504,26.2874,0.407
59.504,26.329,0.407
59.504,26.3707,0.403
59.504,26.4124,0.417
59.504,26.454,0.417
59.504,26.4957,0.417
59.504,26.5374,0.417
59.504,26.579,0.395
59.504,26.6207,0.393
59.504,26.6624,0.403
59.504,26.704,0.407
59.504,26.7457,0.42
59.4957,24.829,0.47
59.4957,24.8707,0.44
59.4957,24.9124,0.46
59.4957,24.954,0.48
59.4957,24.9957,0.472
59.4957,25.0374,0.438
59.4957,25.079,0.412
59.4957,25.154,0.46
59.4957,25.1957,0.45
59.4957,25.2374,0.44
59.4957,25.279,0.445
59.4957,25.3207,0.445
59.4957,25.3624,0.428
59.4957,25.429,0.465
59.4957,25.4707,0.44
59.4957,25.5124,0.44
59.4957,25.554,0.417
59.4957,25.5957,0.433
59.4957,25.6374,0.43
59.4957,25.679,0.415
59.4957,25.7207,0.42
59.4957,25.7624,0.433
59.4957,25.804,0.417
59.4957,25.8457,0.412
59.4957,25.8874,0.423
59.4957,25.929,0.417
59.4957,25.9707,0.41
59.4957,26.0124,0.405
59.4957,26.054,0.428
59.4957,26.0957,0.405
59.4957,26.1374,0.412
59.4957,26.179,0.423
59.4957,26.2207,0.398
59.4957,26.2624,0.398
59.4957,26.304,0.417
59.4957,26.3457,0.417
59.4957,26.3874,0.42
59.4957,26.429,0.417
59.4957,26.4707,0.417
59.4957,26.5124,0.415
59.4957,26.554,0.417
59.4957,26.5957,0.407
59.4957,26.6374,0.398
59.4957,26.679,0.42
59.4957,26.7207,0.4
59.4957,26.7624,0.428
59.4874,24.8207,0.502
59.4874,24.8624,0.433
59.4874,24.904,0.463
59.4874,24.9457,0.468
59.4874,24.9874,0.475
59.4874,25.029,0.463
59.4874,25.0707,0.442
59.4874,25.1124,0.458
59.4874,25.154,0.458
59.4874,25.1957,0.44
59.4874,25.2374,0.428
59.4874,25.279,0.438
59.4874,25.3207,0.43
59.4874,25.3624,0.442
59.4874,25.404,0.425
59.4874,25.4457,0.43
59.4874,25.4874,0.428
59.4874,25.529,0.463
59.4874,25.5707,0.425
59.4874,25.6124,0.435
59.4874,25.654,0.43
59.4874,25.6957,0.43
59.4874,25.7374,0.423
59.4874,25.779,0.442
59.4874,25.8207,0.412
59.4874,25.8624,0.42
59.4874,25.904,0.42
59.4874,25.9457,0.44
59.4874,25.9874,0.42
59.4874,26.029,0.38
59.4874,26.0707,0.398
59.4874,26.1124,0.382
59.4874,26.154,0.423
59.4874,26.1957,0.42
59.4874,26.2374,0.4
59.4874,26.279,0.405
59.4874,26.3207,0.428
59.4874,26.3624,0.4
59.4874,26.404,0.42
59.4874,26.4457,0.415
59.4874,26.4874,0.42
59.4874,26.529,0.42
59.4874,26.5707,0.42
59.4874,26.6124,0.395
59.4874,26.654,0.385
59.4874,26.6957,0.407
59.4874,26.7374,0.42
59.4874,26.779,0.412
59.479,24.679,0.505
59.479,24.829,0.463
59.479,24.8707,0.442
59.479,24.9124,0.452
59.479,24.954,0.465
59.479,24.9957,0.465
59.479,25.0374,0.44
